baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Genes
42.96150409,-1.481418665,0.401428259,-3.69036965,0.000223928,0.018305838,KIF26A
2082.337937,-1.262022743,0.289418081,-4.360552522,1.30E-05,0.002144901,LTK
135.6403064,-1.7097137,0.280870896,-6.08718712,1.15E-09,6.82E-07,DPF3
3877.06008,0.397028081,0.109241047,3.634422145,0.000278604,0.020992716,SUSD6
1644.415126,-0.34121977,0.101618001,-3.357867369,0.000785463,0.041864566,LARGE2
56554.2902,0.564747679,0.091464285,6.174515832,6.64E-10,4.35E-07,CTSD
24.37371986,-4.703556665,0.924900828,-5.085471351,3.67E-07,0.000105844,DRD4
44.96916956,-2.791274701,0.823253574,-3.390540641,0.000697549,0.039332993,SYT12
25.27115273,-1.955323983,0.470940083,-4.151959146,3.30E-05,0.004318045,LOC114600363
48.085233,-2.619004987,0.690827843,-3.791110929,0.000149975,0.013861008,LOC114600865
79.98509342,0.841298487,0.207984048,4.045014477,5.23E-05,0.006318833,SLC4A3
31.08017415,-3.861930956,0.702110966,-5.500456684,3.79E-08,1.54E-05,CNTNAP5
829.7626406,-1.432889128,0.311609445,-4.598349478,4.26E-06,0.000914048,TFCP2L1
1087.071943,-2.501457971,0.26379468,-9.482594476,2.48E-21,1.41E-17,TMEM163
737.4675387,-1.776698573,0.47562852,-3.735475269,0.000187361,0.016195789,RAPGEF4
135.8634834,-3.569949708,0.41915586,-8.516998213,1.64E-17,3.98E-14,SP5
149.5180466,-1.474011181,0.427781452,-3.445710824,0.000569559,0.033677183,TMEFF2
158.2803616,-1.324213796,0.26207004,-5.052900344,4.35E-07,0.000119519,PLCL1
12.20628375,4.9976062,1.179223342,4.238048912,2.25E-05,0.003226504,LOC114584718
64.70291254,-1.631925723,0.4584589,-3.559590015,0.000371434,0.026354805,CD28
33.39884973,-1.547966274,0.352149731,-4.395761625,1.10E-05,0.001918109,LOC114583342
890.2541015,0.414782169,0.124689725,3.326514426,0.000879395,0.044970607,KANSL1L
141.7228875,-0.982189383,0.295697984,-3.321596485,0.00089504,0.045633657,FKBP11
6915.696653,0.874190518,0.22282612,3.9231959,8.74E-05,0.009468713,CERS5
1553.777365,0.507817398,0.14860336,3.41726728,0.000632531,0.036267267,LOC114592824
351.9490101,-1.271612738,0.377280946,-3.370466367,0.000750411,0.040770457,SLC16A3
1267.845858,0.669564001,0.187857622,3.564209915,0.000364954,0.026003341,ST6GALNAC2
1089.314697,1.239448635,0.375376656,3.301879902,0.000960392,0.047680794,LOC114590775
937.6623173,0.898951222,0.174522339,5.150923519,2.59E-07,8.03E-05,ABLIM3
87.94068494,-1.813091449,0.5128559,-3.535284375,0.000407337,0.027243252,ARL10
972.4680809,0.631181856,0.181187471,3.483584449,0.000494747,0.030748346,SFMBT1
1056.576912,1.044739677,0.236525511,4.417027458,1.00E-05,0.001793737,TMEM40
35.13592782,-3.320830757,0.625529791,-5.308829101,1.10E-07,3.68E-05,CACNA1D
2206.522741,0.665004577,0.165084898,4.028258088,5.62E-05,0.006645052,TMCC1
1533.067374,0.636816798,0.190594949,3.341205006,0.000834156,0.043265804,FRMD4B
725.8560918,1.100561624,0.317562719,3.465651213,0.000528949,0.031941391,LOC114592779
37.89393658,1.594841678,0.407731942,3.91149555,9.17E-05,0.009823949,LOC114592128
6.377330803,-5.99062153,1.623059502,-3.690943876,0.000223423,0.018305838,LOC114591990
15.40507229,-7.269329544,1.194528487,-6.085522133,1.16E-09,6.82E-07,LOC114591992
3284.466669,0.606568535,0.145243012,4.176232141,2.96E-05,0.004005564,LOC114592040
16047.31367,0.659813406,0.18784114,3.51261394,0.000443722,0.029153209,LOC114592041
22862.57546,0.645172805,0.184051935,3.505384526,0.000455948,0.02919626,LOC114592042
50.31266802,-4.347604405,0.920601553,-4.722569053,2.33E-06,0.000543258,ATP6V1G2
44.68165526,-1.053701,0.287442999,-3.665773743,0.000246592,0.019290513,LOC114592182
398.6104349,-2.353324137,0.468103287,-5.027360842,4.97E-07,0.000134415,LOC114592319
160.2880287,-1.360863323,0.374237342,-3.636364334,0.000276513,0.020944523,LOC114592346
98.83314973,-0.671921798,0.202625309,-3.316080316,0.000912896,0.045993207,LOC114592276
148.2397669,0.755842931,0.213638288,3.537956324,0.000403237,0.02714118,LOC114593476
521.5876842,1.228913099,0.237799724,5.167849144,2.37E-07,7.62E-05,LOC114593516
17.76995665,-3.432002487,0.854086504,-4.018331249,5.86E-05,0.006836299,LOC114593536
3121.583645,0.601989071,0.174431281,3.451153192,0.000558197,0.033120315,CLN8
367.7832532,-0.672653963,0.182434234,-3.687103832,0.000226821,0.018305838,PXDN
288.5972776,-1.421004974,0.367209936,-3.869734542,0.000108954,0.011176966,ATP6V1C2
1113.03676,0.839759748,0.208770453,4.022407074,5.76E-05,0.006765373,LPIN1
69.07660072,-5.836426103,1.376149601,-4.241127636,2.22E-05,0.003209528,IMPG1
412.1245741,1.067402753,0.244971311,4.357256162,1.32E-05,0.002156512,PRDM1
19.34293122,-6.865942743,1.811544118,-3.790105179,0.000150584,0.013861008,FRK
455.4001114,-1.159311543,0.350862651,-3.304174833,0.000952564,0.047430449,ENPP3
240.0381336,0.57357519,0.1710083,3.354078081,0.000796299,0.041981962,STX11
1041.351903,-0.84335624,0.134137474,-6.287253051,3.23E-10,2.50E-07,SYNE1
30.99852326,-3.121939241,0.811645234,-3.846433282,0.00011985,0.01200542,CCR6
380.7420788,-1.007243135,0.283732729,-3.549971611,0.000385273,0.026620555,CDC42EP3
11.79743744,4.091412882,1.11704391,3.66271446,0.000249557,0.019405025,LOC114593413
43.16207629,3.45903122,0.66971777,5.164908823,2.41E-07,7.62E-05,LOC114594545
184.665955,-0.982955239,0.224940968,-4.369836449,1.24E-05,0.002138767,DUSP10
179.9670986,-0.98602449,0.229126847,-4.303400066,1.68E-05,0.002652058,TGFB2
194.3023454,1.319693146,0.373334123,3.534884875,0.000407953,0.027243252,ATF3
1753.754788,0.628999799,0.175048464,3.593289442,0.00032653,0.023561319,SLC30A1
820.6381982,-1.937424542,0.425462735,-4.553687977,5.27E-06,0.001043789,LOC114594756
237.4456518,-2.404921328,0.307947628,-7.809514041,5.74E-15,8.15E-12,LOC114593371
1004.651111,-2.08550812,0.343414785,-6.072854788,1.26E-09,7.13E-07,LOC114593421
2451.052408,-0.343797987,0.096809327,-3.551289904,0.000383348,0.026620555,LOC114594765
289.2247441,0.77170608,0.233993653,3.297978684,0.000973835,0.048207677,BCL2L11
736.6979954,-0.484516288,0.136688182,-3.544683105,0.000393085,0.026730605,CFAP36
1642.744535,0.746609387,0.207248488,3.602484126,0.000315191,0.023035973,EPHX2
511.475644,-0.560819683,0.1053449,-5.323652883,1.02E-07,3.46E-05,SLC35F6
312.5535046,-0.955656802,0.282390895,-3.384162939,0.000713956,0.039602476,EMILIN1
234.5635123,-0.845233804,0.220190276,-3.838651817,0.000123712,0.01217738,PREB
17.67621704,-2.993691637,0.750923668,-3.986679025,6.70E-05,0.007632908,GCKR
236.2521763,-0.95788879,0.194971745,-4.912962072,8.97E-07,0.000224659,DCHS1
91.33647974,1.364534478,0.393621341,3.466617116,0.000527052,0.031940106,LOC114595145
4127.804514,-3.44792744,0.496768404,-6.940714049,3.90E-12,3.69E-09,DGAT2
105.419411,-2.297807841,0.490136928,-4.688093693,2.76E-06,0.000634587,MYO7A
14.276986,-2.470025333,0.665192162,-3.713250809,0.000204614,0.017335177,CCDC89
2563.869746,-1.143569722,0.222774446,-5.133307449,2.85E-07,8.36E-05,SYTL2
63.23168323,-1.462166396,0.426604706,-3.42745023,0.000609278,0.035170829,ANGPTL5
